gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Xkr4	63439.0140600057	-0.0953909061368523	0.218597781145691	-0.436376369590304	0.662563680864572	0.907092766011188
Gm1992	304.437393129038	-0.0527451217976649	0.346388843480102	-0.152271422103971	0.878972863910898	0.972398644975282
Gm19938	2061.35574387533	0.340355538769507	0.320412646641142	1.06224127648339	0.288126165757518	0.702468430207173
Gm37381	3.8676234669608	0.172935104840099	0.722017314871453	0.239516561830498	0.810705055666219	NA
Rp1	90.4901869883905	0.283779849724028	0.219506832371647	1.29280645462352	0.196078007438692	0.624973500584384
Sox17	183.857439797755	1.29873929056602	0.390328127277773	3.3273013134454	0.000876914981108332	0.0438431907251377
Gm37587	1.77441679584666	0.821895444529055	1.16225263470195	0.707157308135355	0.479468725649435	NA
Gm37323	1.62374894838854	0.287281596559782	1.18310666045019	0.242819693408258	0.808145078938426	NA
Mrpl15	1211.19031507085	0.184086820663634	0.0839672642690667	2.19236415841466	0.0283532224718599	0.278652436539965
Lypla1	3046.68707282763	0.238792943302689	0.0844239062077494	2.8284991068178	0.00467668315901117	0.111489476206321
Tcea1	4337.02352328208	0.217143290078092	0.126255368656848	1.71987371616862	0.0854553991876624	0.461244432076257
Rgs20	8974.43530558356	0.0956646294476796	0.209942465229007	0.455670696937506	0.64862679675706	0.901490362539174
Gm16041	9.06782561198037	0.110661570452008	0.490325219982614	0.225690145931983	0.821442422774101	NA
Atp6v1h	11703.3239640948	0.0390061254151334	0.109584622732205	0.355945245259946	0.721881571014284	0.926214413946965
Oprk1	1390.72984492034	-0.140678812587293	0.240417640120663	-0.585143471654941	0.558451250662364	0.860913700822602
Npbwr1	21.1496701413671	-0.143825152047656	0.390451327784996	-0.368356160711674	0.712607681530926	0.923666881640769
Rb1cc1	26264.4412241115	-0.0433505833179468	0.124520017730257	-0.34814148044739	0.727733933627665	0.928380312598548
4732440D04Rik	695.531981113994	0.314411466178563	0.114496658593984	2.74603180598917	0.00603209153494456	0.12807570165468
Alkal1	126.980611977883	-0.149485951118165	0.202797069770482	-0.73712086317296	0.461048852797775	0.813934169831992
St18	9271.91420233631	-0.16218341847558	0.194229189598394	-0.83501052962701	0.403711779802696	0.780627029253596
Pcmtd1	18930.2721213259	-0.0146629490295393	0.0887134302776286	-0.165284433074582	0.868720110907861	0.969440683214404
Gm26901	1643.16500961724	0.00877882387746069	0.147636188970504	0.0594625473515482	0.952583695552351	0.990043750287887
Gm30414	4.96365624322083	-0.284680895456681	0.686340961303631	-0.41478057045577	0.678302544253413	NA
Sntg1	76062.043129363	0.0838171373573656	0.110484955562776	0.75862941638006	0.448074270702366	0.80831909890308
Rrs1	303.591235059286	0.162221141863404	0.152265466693018	1.06538367094397	0.28670234306963	0.701367901722598
Adhfe1	743.926283949127	0.424077067596473	0.137962393683611	3.07385988510034	0.00211308650512478	0.0730606895744512
